city,area,rooms,bathroom,parking_spaces,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
4,63,2,2,1,0,1,357,3200,50,41,8.202208436436448
4,58,2,1,1,0,1,0,1400,0,18,7.257707677160043
4,48,1,1,0,1,0,377,3450,0,44,8.261526448396468
4,210,3,4,3,0,1,1700,2790,834,36,8.586905803827538
0,100,3,2,2,0,1,340,1600,183,22,7.671360923190644
4,94,3,2,2,0,1,1337,3570,140,46,8.535818655539403
4,94,3,3,2,0,0,1220,5010,395,64,8.808369153122275
4,76,3,1,1,0,1,1200,2500,267,32,8.294049640102028
4,192,3,3,2,0,1,2100,7800,634,99,9.271529540288606
4,217,3,4,3,0,1,2884,6500,0,83,9.155672970633875
4,68,2,1,1,0,1,610,1400,35,18,7.6324011266014535
4,110,3,2,2,0,1,1145,2400,247,31,8.249052274171293
0,95,2,2,1,0,1,660,1600,164,22,7.802618063442671
4,900,4,6,8,0,1,0,15000,4417,226,9.8853744971092
4,34,1,1,0,1,1,347,1200,45,16,7.3833681469923835
4,192,3,4,3,0,1,2000,8000,0,102,9.220389707829185
2,62,2,2,1,0,1,350,1800,75,27,7.720017940432244
4,180,3,3,4,0,1,0,3700,184,56,8.279189777195004
1,44,1,1,0,0,0,350,916,12,12,7.1631723908466425
0,100,2,1,1,1,1,250,1700,116,23,7.644919344958857
3,140,3,3,1,1,1,900,1370,100,18,7.77863014732581
4,170,3,3,3,0,0,1570,2800,648,36,8.528133131454572
4,100,3,2,2,1,1,0,1600,150,25,7.4821189235521155
4,75,3,2,2,0,1,652,1600,82,21,7.764720544771477
3,52,2,1,0,0,1,200,1200,43,16,7.286191714702382
1,999,5,7,8,0,1,0,14000,667,211,9.60784051043005
4,270,4,4,4,0,1,2200,7000,1500,89,9.286467732363734
0,50,2,1,1,0,1,160,930,60,13,7.059617628291383
1,200,3,3,2,0,1,650,2210,184,34,8.0323601479245
4,71,2,2,0,0,1,430,1920,100,25,7.814399633804487
4,500,5,4,6,0,1,0,13000,250,196,9.506808731708581
4,60,2,1,0,0,1,0,1080,94,17,7.083387847625295
4,110,2,1,0,0,1,1100,1300,84,17,7.824845691026856
4,210,3,3,4,0,1,0,3294,276,50,8.19450550976564
4,220,3,4,3,0,1,2021,6000,996,77,9.115480090952223
0,200,3,2,5,1,1,0,4000,204,66,8.359603270841466
4,130,3,4,3,0,1,2300,4250,502,54,8.868835492826895
4,65,2,2,2,0,0,1037,4000,245,51,8.58185670474196
4,96,3,2,2,0,1,804,3200,250,41,8.3654396361887
4,660,4,5,5,0,0,4800,20000,1750,254,10.196194479235656
3,107,3,2,0,0,0,1460,3200,270,42,8.511778558714738
3,105,3,2,0,0,1,740,2200,9,29,7.999342952713282
3,100,3,2,0,0,1,900,3290,109,43,8.376320632534823
4,287,3,4,4,0,0,0,9000,430,136,9.166074955678168
1,24,1,1,0,1,0,230,1180,9,15,7.268920128193722
4,22,1,1,0,1,1,0,976,0,15,6.899723107284872
4,70,1,1,1,1,1,0,2529,142,39,7.905072849498666
2,44,1,1,1,0,0,250,1500,17,22,7.489970898834801
4,150,3,2,2,1,1,0,2500,0,38,7.839525581704678
4,90,1,2,2,0,0,998,2900,220,37,8.332308352219117
4,200,4,4,2,0,0,3000,2800,830,36,8.80492526261806
4,320,8,4,0,0,1,450,10500,350,158,9.346705246496699
2,90,2,1,1,1,1,550,1700,110,25,7.777373602657861
4,240,4,4,3,0,1,2500,2144,834,28,8.613775289262481
4,154,4,3,3,0,1,1684,7000,1020,89,9.189525232262262
4,60,2,2,2,0,1,2340,3230,284,41,8.682029433869172
1,101,3,2,0,0,1,780,2380,91,31,8.096512917501594
2,140,3,4,2,1,1,0,3090,0,55,8.053887083618223
4,500,4,5,8,0,1,0,15000,1850,226,9.74572201363806
4,110,3,3,3,0,1,1195,2350,687,30,8.35772841676521
4,110,3,3,2,0,1,0,4800,50,73,8.501876487304344
0,90,2,2,2,0,1,200,2000,84,27,7.7458682297922685
4,384,4,6,4,1,0,3500,15000,344,191,9.85434982797458
4,57,2,1,1,0,1,570,1500,67,20,7.67693714581808
4,160,3,3,2,0,0,1650,1500,419,20,8.185907481482324
4,39,1,1,0,0,1,330,1250,19,16,7.38770923908104
1,78,1,2,1,0,1,0,2290,143,30,7.80954132465341
2,36,1,1,1,0,1,0,762,15,14,6.674561391814426
1,70,2,1,1,0,1,558,1200,0,16,7.4815557019095165
0,45,1,1,1,1,0,300,3200,0,43,8.173011311724972
4,200,3,4,3,0,1,3500,8500,1250,108,9.500095294588894
4,100,3,3,3,0,1,0,4300,120,65,8.408716715080153
4,42,1,1,1,1,1,0,5000,0,64,8.530109416682784
4,280,4,4,1,0,0,3000,8000,292,102,9.340578848899913
4,28,1,1,1,1,0,615,2800,42,36,8.158802490694002
4,30,1,1,0,1,0,296,1826,30,24,7.685703061234547
0,85,3,2,1,0,1,337,1500,88,20,7.57353126274595
1,83,1,1,1,1,1,500,1080,59,14,7.4109518755836366
1,85,3,2,2,0,0,550,3300,150,42,8.304742269640771
0,90,3,2,2,0,1,325,1600,105,22,7.627057417018934
0,50,2,1,0,0,1,0,900,100,12,6.920671504248683
3,50,1,1,0,0,1,600,2900,134,38,8.208764045819667
0,300,3,2,3,1,1,0,6700,539,110,8.902455592206882
2,39,1,1,0,0,1,350,850,27,13,7.123672785204607
4,750,4,4,6,0,1,0,15000,2084,226,9.75909741657673
2,60,2,1,0,0,1,222,1100,46,17,7.234177179749849
3,68,2,1,0,1,1,750,1250,9,17,7.614312146452
4,70,2,1,1,0,1,230,1250,50,16,7.344072850573066
4,90,2,2,1,0,0,900,6500,89,83,8.932344569113823
3,258,5,6,0,0,1,0,8700,670,133,9.159468041602427
4,200,2,2,6,0,1,0,4500,292,68,8.488999457045455
4,123,2,2,2,0,1,1800,2990,625,38,8.604104563405533
4,127,3,2,2,0,0,220,2150,67,33,7.81237820598861
0,180,4,2,2,0,1,0,1800,210,30,7.621195162809845
4,110,3,2,0,1,1,0,2900,384,44,8.110427237575024
3,70,2,2,1,0,0,585,1719,77,23,7.785305182539862
4,35,1,1,1,0,0,720,3000,130,39,8.266164436612492
4,219,3,2,2,0,1,0,2900,150,44,8.037543185118697
3,25,1,1,0,0,1,50,700,0,10,6.634633357861686
3,170,4,5,0,0,1,1200,7100,639,92,9.108529105829499
3,45,1,1,0,0,1,900,1570,98,21,7.859413154693583
0,420,4,4,2,1,1,0,7000,200,115,8.897819009510757
2,46,1,1,0,0,1,0,1040,48,16,7.007600613951853
4,145,3,3,2,0,0,1088,5800,250,74,8.883640232503673
0,59,2,2,1,0,1,190,1100,59,15,7.21890970761906
0,225,4,3,0,0,1,1850,7500,466,100,9.202005735186125
4,210,4,4,3,0,1,2270,4675,1110,60,9.001592700945706
2,76,1,1,0,0,1,209,1249,52,19,7.333023014386481
4,220,3,4,3,1,1,2500,5150,1250,66,9.101306450952048
4,109,3,2,2,0,1,1746,2500,134,32,8.392310009269547
0,95,2,1,1,0,1,646,1000,120,14,7.484930283289661
4,32,1,1,0,1,1,280,1500,50,20,7.523481312573497
4,480,4,6,5,0,1,6660,15000,3063,191,10.123064751970729
4,53,1,1,1,0,1,694,4390,200,56,8.58316818033977
4,40,1,1,0,1,1,0,780,17,12,6.697034247666484
4,50,1,1,1,0,0,500,3223,100,41,8.259716961021523
4,60,1,1,0,0,1,0,1300,255,20,7.362645270417825
2,64,2,2,2,1,1,450,1500,50,22,7.612336837167746
3,140,3,3,2,0,0,2280,12000,535,155,9.613870275449836
4,121,3,3,1,0,1,800,2040,334,26,8.071218539969863
1,43,1,1,1,0,0,498,2100,84,27,7.904703913873747
4,20,1,1,1,1,0,1700,1360,0,18,8.0323601479245
1,58,2,1,1,0,1,289,950,11,13,7.142036574706803
0,570,5,6,7,0,0,0,8330,873,137,9.14216859187285
4,88,2,1,1,0,1,980,2790,0,36,8.244596756382498
4,89,3,2,2,0,1,900,6000,184,77,8.876544550558378
2,47,1,1,1,1,0,400,2200,0,33,7.876258882303226
4,40,1,1,0,0,1,0,1100,50,17,7.0630481633881725
3,40,1,1,0,0,0,386,1950,91,26,7.805474625270857
3,60,1,2,1,0,1,400,750,80,10,7.123672785204607
4,25,1,1,0,0,1,257,1650,0,21,7.564757012905729
2,50,2,1,0,0,1,340,1130,30,17,7.325148957955575
2,90,3,1,0,0,1,145,1130,55,17,7.206377291472252
4,173,3,3,3,0,1,3000,2000,825,26,8.674538762140015
1,91,3,2,2,0,1,700,2250,175,29,8.056743774975313
4,90,3,2,2,1,1,1710,1200,109,16,8.01829613851552
4,530,5,6,4,0,0,8300,15000,5000,191,10.257343526911063
0,155,1,4,0,1,1,1117000,2790,64,38,13.928840136128022
4,40,1,1,0,1,1,0,1300,0,17,7.183870715062453
4,296,4,5,3,0,1,0,15000,0,191,9.628458426207663
4,87,3,2,1,0,1,850,1400,200,18,7.81156848934518
4,300,3,3,5,0,1,0,5000,584,76,8.64135583403666
4,136,3,3,3,0,1,1430,4206,364,54,8.708639655987193
4,52,2,1,0,0,1,0,1340,0,17,7.213768308118642
2,94,2,2,2,0,1,600,2900,230,43,8.235890725928495
3,300,4,5,3,0,1,3850,12750,750,165,9.771155440487087
3,100,3,3,1,0,1,850,3229,100,42,8.348064228408266
4,500,4,6,3,0,1,6466,7300,2536,110,9.705707120679628
4,240,3,4,3,0,0,3600,4950,1000,63,9.170975648453906
0,308,2,3,3,0,1,0,2000,171,33,7.6984827878809465
4,350,4,5,4,0,0,2700,4590,1334,59,9.069237530998182
4,75,2,2,0,0,1,570,1450,0,19,7.620705086838262
4,155,3,2,3,0,0,2600,11700,667,149,9.623839785112668
4,260,3,5,4,0,1,2227,6000,1468,77,9.187378760338836
4,80,2,2,1,1,1,0,1500,184,23,7.443078374348516
3,85,3,1,1,0,1,810,1998,87,26,7.980023592310645
4,120,2,2,2,1,0,1400,3500,375,45,8.579416534596369
4,100,2,2,1,0,1,0,1970,0,30,7.601402334583733
4,240,4,5,4,1,1,1869,3500,717,45,8.721276239991704
4,360,7,6,6,0,1,0,5270,245,80,8.629807335785372
4,42,1,1,0,1,1,0,1100,0,17,7.0192966537150445
4,33,1,1,1,0,0,600,2800,112,36,8.174421152646497
3,48,1,1,0,1,1,626,1020,53,14,7.446585099157725
3,36,1,1,0,0,1,350,1130,42,15,7.338238150065589
4,270,6,3,6,0,1,0,4500,417,68,8.514389264083503
1,75,2,1,1,0,1,670,1200,121,16,7.60489448081162
3,46,2,1,0,1,1,270,1600,0,21,7.545389749611823
4,350,3,3,3,1,1,0,10000,1292,151,9.344958673700944
2,131,3,3,1,0,0,1625,1750,121,26,8.167068178341237
1,90,3,2,1,0,1,920,1300,129,17,7.769378609513984
3,26,1,1,0,1,1,390,1650,120,22,7.688455356549944
3,44,1,1,0,0,0,400,1100,14,15,7.333023014386481
4,70,2,2,0,0,1,0,1880,0,29,7.554858521040676
0,40,1,1,0,1,1,0,900,0,15,6.82001636467413
0,320,4,2,4,0,1,0,3200,206,53,8.14902386805177
4,213,2,2,3,0,1,0,5150,0,78,8.56197533418813
4,80,2,1,0,1,1,0,1100,0,14,7.016609683894219
1,70,1,1,0,0,1,500,800,30,11,7.201916317531627
3,60,2,1,1,0,1,690,1500,25,20,7.71244383427499
4,270,4,4,4,0,1,4500,12850,1834,163,9.870499376709148
3,70,2,1,1,0,1,800,1300,44,17,7.6787889981991535
2,300,6,2,2,0,1,0,6000,242,107,8.756210091886738
4,220,4,5,3,0,0,2050,12000,750,153,9.612533466213927
2,64,2,2,2,0,1,450,1600,34,24,7.653969180478774
3,80,3,3,1,1,1,1100,1470,0,19,7.859413154693583
4,56,1,1,0,0,0,625,2500,81,32,8.08301991917133
4,161,4,3,2,0,1,1450,10000,467,127,9.39607277189222
4,35,1,1,0,0,1,350,1350,0,18,7.449498005382849
4,720,4,6,5,0,0,0,12750,2613,192,9.65252306301951
4,280,4,5,4,1,1,2500,3200,750,41,8.778325928634482
2,96,3,2,0,0,1,408,2100,84,31,7.8724551500639794
1,236,3,4,4,0,1,1600,11000,440,140,9.486531677712465
4,81,3,2,1,0,1,204,1510,0,20,7.45876269238096
4,62,2,1,1,0,1,580,1650,92,21,7.759614150696903
0,125,3,2,0,0,1,150,1200,69,16,7.269616749608169
4,37,1,1,1,0,0,890,4150,110,53,8.557182839632397
4,60,2,2,1,0,1,1680,4000,200,51,8.688116703257823
4,230,4,2,3,0,1,3600,5000,1551,64,9.232199706329077
4,210,4,5,2,0,0,3800,8500,0,108,9.426338455129521
4,450,4,3,8,0,1,0,14000,175,211,9.574358290170174
4,234,3,5,4,0,0,0,3680,400,56,8.327726166461412
0,135,4,3,2,1,1,868,2450,308,33,8.205218426395412
4,395,4,5,3,0,1,0,6000,122,91,8.734560089952993
2,92,2,2,1,0,1,450,1700,67,25,7.715569534520208
4,412,3,5,6,0,1,2000,3952,459,51,8.773848885262895
4,42,1,1,1,0,1,560,5300,100,68,8.704336438489406
4,33,1,1,0,1,0,385,3000,125,39,8.174702882469461
2,28,2,1,1,0,1,0,600,0,11,6.416732282512326
4,190,4,4,2,1,1,0,4450,223,67,8.464003362902119
4,165,4,3,3,0,0,2440,6300,1292,80,9.2213792190914
2,44,1,1,0,0,1,355,1200,20,18,7.374001859350161
4,60,2,1,1,0,1,603,1275,109,17,7.60339933974067
4,380,3,3,2,0,1,3580,11000,1084,140,9.6678285081515
3,73,2,1,0,0,1,375,830,120,11,7.198183577101943
0,19,1,1,0,0,1,620,1100,85,15,7.507141079727608
1,230,3,5,4,0,1,1800,7500,0,96,9.148145768383065
2,37,1,1,1,0,1,500,2500,0,37,8.018954683155718
4,124,3,2,3,0,1,1450,6600,300,84,9.040144994980068
3,115,3,2,1,0,0,1090,2680,114,35,8.273846932784508
1,600,3,3,4,0,1,0,5500,384,83,8.694167141883597
3,700,5,5,4,0,0,1380,15000,1667,229,9.813617548107086
2,35,1,1,0,0,1,100,815,17,12,6.851184927493743
0,15,1,1,0,1,0,0,1100,0,15,7.017506142941256
1,80,3,2,1,0,1,570,1450,125,19,7.68017564043659
2,48,1,1,0,0,1,200,700,38,11,6.856461984594587
0,96,3,2,1,0,1,922,1500,137,20,7.855544677915663
4,150,3,2,1,0,0,1843,6715,340,86,9.103311799217659
0,105,3,2,2,1,1,1681,3300,390,44,8.59711281459211
0,204,4,4,4,1,0,2701,10000,760,134,9.517898598432753
3,125,3,1,2,0,1,1317,2600,170,33,8.323851131338817
3,50,2,1,0,1,1,490,2300,50,30,7.962415680121064
4,250,3,4,3,1,1,0,3740,234,57,8.302017809751204
4,300,3,4,3,0,0,3000,2000,1250,26,8.744647438317532
4,80,2,1,1,0,1,0,1500,55,23,7.364547014255642
3,130,3,4,1,1,1,1200,1400,334,19,7.9909154630913255
4,120,2,3,0,0,1,904,3300,195,42,8.398860004454372
4,540,3,3,4,0,1,6200,15000,3500,191,10.122261571332395
4,23,1,1,0,0,1,392,2100,41,27,7.848153086199526
4,15,1,1,0,1,0,0,2500,0,32,7.837159650001675
4,72,1,2,2,0,1,900,4000,200,51,8.54714026778419
3,95,3,2,2,0,1,985,2300,122,30,8.142645185942795
4,330,4,5,4,0,1,2870,10000,1119,127,9.555418330069251
4,75,2,2,2,1,0,1600,6600,400,84,9.069352678675205
4,53,1,1,1,0,1,690,4398,200,56,8.583916823459145
4,178,3,2,1,1,1,1200,1900,180,25,8.10349427838097
4,150,3,2,0,0,1,0,4000,24,61,8.315321775377567
4,50,2,1,1,0,1,520,1200,30,16,7.4770384723196965
4,150,3,2,1,1,1,0,2500,59,38,7.862497197230545
2,25,1,1,0,0,0,286,984,11,15,7.167809184316444
4,210,3,4,4,1,1,3150,12000,1155,153,9.708749225727084
0,75,3,2,1,0,1,600,1500,75,20,7.694392802629421
0,200,2,4,3,0,1,1897,15000,827,200,9.793728488543389
4,350,4,4,0,0,1,0,8000,989,121,9.117237753713859
2,49,2,1,1,0,1,360,1150,30,17,7.351158226430694
2,40,1,1,0,1,0,0,2000,0,30,7.616283561580385
4,45,1,1,1,1,0,1900,4200,350,54,8.780326390946605
4,46,1,1,1,1,0,900,7600,118,97,9.072915696064511
4,80,2,2,2,0,1,2000,11000,0,140,9.483492392643639
4,30,1,1,0,0,0,400,2850,0,37,8.098034756176071
4,80,2,2,2,0,1,50,2200,173,34,7.80710329012598
3,105,2,2,1,0,1,1780,1530,134,20,8.150467911624004
0,105,3,2,2,0,1,1170,2000,219,27,8.136518252115291
4,114,3,1,0,0,1,0,2570,150,39,7.9229859587111955
4,200,3,3,4,0,1,0,7000,425,106,8.926915889777042
2,120,3,3,2,0,1,800,3000,167,44,8.297045149081827
4,60,2,2,1,0,1,647,4000,21,51,8.459564078579602
4,90,2,1,1,0,1,1000,3000,50,39,8.316300249036848
3,53,2,1,0,1,1,535,1800,50,24,7.787382026484701
4,80,2,2,5,0,1,0,3000,59,46,8.041091003708633
1,87,4,2,2,0,1,784,1600,106,21,7.828834527588089
3,110,3,1,1,0,1,557,5000,188,65,8.667507952075105
0,113,4,2,1,0,1,1587,4000,429,54,8.711278615130434
4,170,3,2,2,1,1,2199,5000,423,64,8.947285869349132
4,150,3,2,0,1,1,700,3000,42,39,8.238008249218403
2,60,2,2,1,0,1,469,1500,51,22,7.622174594817622
2,43,1,1,0,1,0,290,2100,66,31,7.81923445385907
4,130,3,2,2,0,0,800,3500,0,45,8.377011160816375
4,69,3,2,0,0,0,650,1900,185,25,7.923348211930154
1,306,3,2,2,0,1,0,2500,422,38,7.993282328101591
4,187,3,2,3,0,1,500,3500,193,53,8.353968130313271
4,385,3,4,3,0,1,0,9000,1500,136,9.272469743441732
4,355,4,4,3,0,1,0,7300,660,110,8.996032669324372
2,90,2,1,1,0,1,405,1100,380,17,7.551186867296149
4,190,3,4,4,0,1,0,5000,275,76,8.585225601808064
1,181,2,1,2,0,1,0,1400,132,22,7.349230824613334
4,350,3,5,4,0,1,4000,3490,1750,45,9.136263168579868
0,168,5,3,2,0,1,1443,2900,408,39,8.474494436883122
3,73,2,1,0,0,1,1600,2800,204,37,8.442900586834382
4,378,5,5,4,0,1,4000,3000,2000,39,9.109414453386222
1,60,2,1,1,0,1,0,1300,180,20,7.313886831633462
0,362,4,5,0,1,1,4138,15000,1975,200,9.966978650317326
4,90,3,2,0,0,1,0,1700,136,26,7.529943370601589
3,42,1,1,0,1,0,500,1973,79,26,7.8551570058813445
3,56,2,1,1,0,1,568,1000,88,13,7.4205789054108005
4,16,1,1,0,1,1,0,850,30,11,6.79346613258001
4,90,2,2,2,1,0,1400,10000,0,127,9.352794339771116
0,67,1,1,0,0,1,375,850,55,12,7.164720378771857
4,488,4,3,3,0,1,14130,6400,1214,82,9.990628087851128
3,30,1,1,0,0,1,850,1100,60,15,7.613818684808629
4,290,6,3,4,0,1,0,8000,1525,121,9.174402265170553
4,266,3,3,4,0,1,4700,6400,1500,82,9.447860089234899
1,47,2,1,1,0,1,260,900,25,12,7.088408778675395
3,590,6,6,2,0,0,750,8000,975,122,9.19502366786429
4,900,4,9,8,0,1,0,15000,5700,226,9.948986592607346
4,86,2,1,1,0,1,0,2200,110,34,7.76004068088038
4,290,3,3,2,0,0,0,15000,1000,226,9.69467827290507
2,84,3,2,2,0,1,750,3300,100,49,8.34283980427146
4,160,3,1,2,0,1,0,5000,225,76,8.57583938684897
4,37,1,1,0,1,0,470,3500,127,45,8.329175442077402
1,73,3,1,1,0,1,308,850,46,11,7.103322062526113
4,350,4,5,5,0,0,2400,15000,2400,191,9.903037451255743
3,57,1,1,0,0,1,200,1100,10,15,7.189922170745808
1,48,1,1,0,0,1,350,650,21,9,6.93828448401696
3,30,1,1,0,0,1,390,800,25,11,7.112327444710911
1,198,6,3,4,0,1,0,2000,145,31,7.685703061234547
2,47,1,1,0,1,1,300,1000,59,15,7.226209010100671
2,60,2,1,1,0,1,250,800,22,12,6.98933526597456
4,230,3,3,0,0,0,1700,5000,109,64,8.835501457409778
0,90,2,1,1,1,1,0,1520,0,25,7.343426229147367
3,129,3,2,1,0,0,1200,3255,167,42,8.447843113281444
4,240,4,4,4,0,1,1980,6672,417,85,9.122055457108612
2,55,1,1,0,0,1,700,1020,29,15,7.475905969367397
2,52,1,1,0,0,1,150,1200,42,18,7.252053951852814
